Date,Return
02/08/2013,0.012088650100738731
02/11/2013,0.030449826989619466
02/12/2013,0.01048951048951039
02/13/2013,-0.04283801874163312
02/14/2013,0.072505384063173
02/15/2013,-0.02791346824842989
02/19/2013,0.011291460832745246
02/20/2013,0.040381791483113126
02/21/2013,0.003684598378776635
02/22/2013,-0.0022058823529411296
02/25/2013,0.03500761035007603
02/26/2013,-0.010542168674698704
02/27/2013,-0.01556708673091185
02/28/2013,0.00897531787584151
03/01/2013,-0.009629629629629688
03/04/2013,-0.036402569593147735
03/05/2013,-0.03512396694214875
03/06/2013,-0.012244897959183655
03/07/2013,-0.01934623082054709
03/08/2013,0.009427609427609467
03/11/2013,-0.01915455746367245
03/12/2013,-0.02574002574002565
03/13/2013,-0.02753441802252824
03/14/2013,-0.028571428571428505
03/15/2013,0.04113924050632902
03/18/2013,-0.04126213592233008
03/19/2013,-0.037945125510799683
03/20/2013,-0.004648460197559666
03/21/2013,0.006432748538011662
03/22/2013,0.010638297872340408
03/25/2013,0.014997000599880022
03/26/2013,0.011529126213592311
03/27/2013,-0.03058823529411762
03/28/2013,-0.0011750881316098458
04/01/2013,0.03276699029126209
04/02/2013,0.04171934260429837
04/03/2013,0.04629629629629637
04/04/2013,-0.00329597890573505
04/05/2013,-0.0410872313527181
04/08/2013,-0.015556938394523958
04/09/2013,0.020965692503176623
04/10/2013,-0.0019023462270132759
04/11/2013,-0.021104903786468024
04/12/2013,-0.005555555555555547
04/15/2013,0.015037593984962308
04/16/2013,-0.012987012987013038
04/17/2013,-0.022370012091898275
04/18/2013,0.027329192546583708
04/19/2013,0.006879299562226467
04/22/2013,0.04305283757338553
04/23/2013,-0.05719557195571964
04/24/2013,-0.01752265861027185
04/25/2013,0.010378510378510484
04/26/2013,-0.019161676646706604
04/29/2013,-0.005952380952381037
04/30/2013,-0.006505026611472468
05/01/2013,0.01136363636363644
05/02/2013,-0.017626321974148103
05/03/2013,-0.0017595307917889229
05/06/2013,-0.005830903790087339
05/07/2013,0.008230452674896943
05/08/2013,-0.029663434112949204
05/09/2013,-0.0045428733674047865
05/10/2013,-0.0073280721533257615
05/13/2013,-0.00448933782267126
05/14/2013,-0.02994011976047908
05/15/2013,-0.031118143459915603
05/16/2013,-0.021671826625386904
05/17/2013,0.0173228346456692
05/20/2013,0.026954177897574122
05/21/2013,0.027131782945736545
05/22/2013,0.03318077803203651
05/23/2013,-0.03478741027056869
05/24/2013,-0.01789587852494587
05/28/2013,0.021040974529346765
05/29/2013,0.007812499999999833
05/30/2013,0.014722536806342104
05/31/2013,0.006841505131128906
06/03/2013,-0.013498312710911247
06/04/2013,0.03673469387755117
06/05/2013,0.013593380614657024
06/06/2013,0.0017761989342807067
06/07/2013,-0.011702750146284335
06/10/2013,0.008854781582054225
06/11/2013,-0.0017678255745431695
06/12/2013,0.007121661721068097
06/13/2013,-0.00648584905660374
06/14/2013,-0.0035252643948295373
06/17/2013,0.004722550177095531
06/18/2013,-0.012820512820512754
06/19/2013,0.025702331141661667
06/20/2013,-0.004166666666666683
06/21/2013,0.04607721046077223
06/24/2013,-0.009864364981504324
06/25/2013,-0.016969696969697037
06/26/2013,0.012891344383057144
06/27/2013,0.0030788177339901917
06/28/2013,-0.015757575757575852
07/01/2013,-0.016686531585220567
07/02/2013,0.044831880448318956
07/03/2013,-0.05138806851742475
07/05/2013,-0.0005903187721370462
07/08/2013,-0.004115226337448576
07/09/2013,-0.017898383371824405
07/10/2013,-0.00459770114942519
07/11/2013,0.002304147465437739
07/12/2013,-0.016987542468856212
07/15/2013,-0.011198208286674092
07/16/2013,-0.005567928730512328
07/17/2013,-0.0395721925133689
07/18/2013,0.024096385542168548
07/19/2013,0.0005479452054795377
07/22/2013,-0.004364429896344698
07/23/2013,-0.005425935973955584
07/24/2013,-0.003244997295835518
07/25/2013,-0.013340448239060833
07/26/2013,-0.017304667016255996
07/29/2013,-0.013450594930160271
07/30/2013,0.004155844155844067
07/31/2013,-0.009773662551440394
08/01/2013,0.0030959752321982597
08/02/2013,0.02539682539682542
08/05/2013,-0.014084507042253683
08/06/2013,0.017515923566879078
08/07/2013,-0.007898894154818252
08/08/2013,0.0042305658381807665
08/09/2013,0.0227149810708492
08/12/2013,-0.019618239660657528
08/13/2013,0.17507788161993762
08/14/2013,0.005009392611145903
08/15/2013,0.01719745222929945
08/16/2013,-0.01690670006261749
08/19/2013,0.0210997442455243
08/20/2013,-0.010126582278481022
08/21/2013,-0.006913890634820832
08/22/2013,-0.023926380368098195
08/23/2013,0.008663366336633699
08/26/2013,0.018273471959672397
08/27/2013,0.031859557867360104
08/28/2013,-0.040548970679975066
08/29/2013,-0.004347826086956539
08/30/2013,-0.017094017094016947
09/03/2013,-0.006670709520921737
09/04/2013,-0.02713864306784666
09/05/2013,-0.013387660069848687
09/06/2013,0.018979833926453162
09/09/2013,-0.04691916336913521
09/10/2013,-0.018857459789240145
09/11/2013,0.019219898247597504
09/12/2013,-0.00112930547713154
09/13/2013,-0.024779735682819343
09/16/2013,-0.022078621432417886
09/17/2013,-0.0058886509635974
09/18/2013,0.000535618639528549
09/19/2013,-0.014255543822597654
09/20/2013,0.002646903123345723
09/23/2013,0.005321979776476925
09/24/2013,-0.017773131207527437
09/25/2013,-0.0020865936358895514
09/26/2013,0.004190675746464214
09/27/2013,0.04089422028353326
09/30/2013,-0.0337197049525817
10/01/2013,-0.050999999999999976
10/02/2013,0.0
10/03/2013,-0.015263417035942823
10/04/2013,-0.0048995590396864975
10/07/2013,0.0044291338582677095
